callsign,time,lat,lon,velocity,baroaltitude_m,geoaltitude_m,lon_lv95,lat_lv95
AZE42RI ,1655714390,47.32475280761719,8.133453369140625,129.29749390414335,3901.44,4137.66,2652525,1241774
AZE42RI ,1655714400,47.31861877441406,8.119377136230469,129.02189881045155,3992.88,4229.1,2651467,1241083
AZE42RI ,1655714410,47.31220310017214,8.104459322415865,128.31227555674695,4099.56,4335.780000000001,2650345,1240360
AZE42RI ,1655714420,47.306151309255824,8.090233435997595,128.03869380710475,4198.62,4442.46,2649275,1239678
CAI2A   ,1655712570,47.46794128417969,8.555465698242188,57.16813200726838,411.48,472.44,2684199,1258061
CAI2A   ,1655712580,47.47252900721663,8.5491943359375,73.91720725590706,411.48,480.06,2683719,1258564
CAI2A   ,1655712590,47.47755664890095,8.542503943810095,77.20431667595403,495.3,548.64,2683207,1259116
CAI2A   ,1655712600,47.483001708984375,8.535003662109375,76.09772781183953,617.22,678.1800000000001,2682633,1259714
CAI2A   ,1655712610,47.48799133300781,8.528411865234375,76.90034458989064,731.52,807.72,2682128,1260262
CAI2A   ,1655712620,47.49333785752118,8.521587665264422,79.3795593783376,853.44,929.64,2681606,1260849
CAI2A   ,1655712630,47.499298095703125,8.515777587890625,81.43341407715111,975.36,1059.18,2681159,1261505
CAI2A   ,1655712640,47.50593566894531,8.510284423828125,82.85583383074388,1112.52,1203.96,2680735,1262238
CAI2A   ,1655712650,47.512517379502114,8.504967322716345,84.99542821543635,1249.68,1341.12,2680325,1262964
CAI2A   ,1655712660,47.51917434951006,8.499333308293268,86.84509557319704,1379.22,1470.66,2679890,1263698
CAI2A   ,1655712670,47.52580261230469,8.493392944335938,89.00029881995049,1508.76,1615.44,2679433,1264429
CAI2A   ,1655712680,47.53192966267214,8.484262319711538,96.82759957662864,1577.34,1684.0200000000002,2678736,1265101
CAI2A   ,1655712690,47.536102294921875,8.47265625,103.99024511523233,1645.92,1752.6,2677856,1265553
CAI2A   ,1655712700,47.537567138671875,8.459060668945312,103.99915214813076,1805.94,1912.62,2676831,1265703
CAI2A   ,1655712710,47.53556073722193,8.445810171274038,101.46421671402386,2011.68,2141.2200000000003,2675836,1265467
CAI2A   ,1655712720,47.53047180175781,8.434684753417969,104.47773776606346,2171.7000000000003,2308.86,2675005,1264891
CAI2A   ,1655712730,47.52314758300781,8.425209045410156,107.50279535486902,2316.48,2453.64,2674302,1264067
CAI2A   ,1655712740,47.515777587890625,8.416282653808594,110.000831163801,2453.6400000000003,2598.4200000000005,2673640,1263239
CAI2A   ,1655712750,47.50804138183594,8.406806945800781,112.83224151184484,2598.42,2750.82,2672937,1262370
CAI2A   ,1655712760,47.5001220703125,8.3968505859375,115.2813793493701,2750.82,2910.84,2672198,1261481
CAI2A   ,1655712770,47.492156982421875,8.386688232421875,118.57348321968956,2887.98,3040.38,2671443,1260586
CAI2A   ,1655712780,47.48304981296345,8.378272423377403,122.47765376613653,3040.38,3215.6400000000003,2670821,1259566
CAI2A   ,1655712790,47.472198486328125,8.374809265136719,125.21719136429438,3215.6400000000003,3398.5200000000004,2670574,1258356
CAI2A   ,1655712800,47.46079784328654,8.375525841346153,130.0078465315484,3368.04,3543.3,2670643,1257089
CAI2A   ,1655712810,47.4483683957892,8.377286470853365,140.26596558894596,3429.0,3619.5,2670793,1255709
CAI2A   ,1655712820,47.43547342591366,8.379892202524038,149.8692896564976,3489.96,3680.46,2671006,1254278
CAI2A   ,1655712830,47.42179870605469,8.384696960449219,160.98727485745638,3543.3,3733.8,2671387,1252762
CAI2A   ,1655712840,47.40802001953125,8.390533447265625,165.85933056521577,3649.98,3840.48,2671846,1251235
CAI2A   ,1655712850,47.393203993975106,8.39672382061298,166.8528353649778,3810.0,4000.5,2672333,1249594
CAI2A   ,1655712860,47.37895202636719,8.402000427246094,167.32088445006426,4000.5,4206.24,2672751,1248014
CAI2A   ,1655712870,47.36448126324152,8.407569298377403,170.24443611231442,4168.14,4358.64,2673191,1246411
CAI2A   ,1655712880,47.34992980957031,8.417655944824219,175.75021380277417,4328.16,4526.28,2673974,1244802
CAI2A   ,1655712890,47.33757406978284,8.432640662560095,180.09434654786975,4518.66,4739.639999999999,2675123,1243443
CAI2A   ,1655712900,47.3277980998411,8.451021634615383,185.78481071367787,4678.68,4899.66,2676526,1242374
CAI2A   ,1655712910,47.318572998046875,8.47320556640625,190.12795155120435,4823.46,5059.68,2678217,1241370
CAI2A   ,1655712920,47.30992126464844,8.494491577148438,193.04335447935048,4968.240000000001,5196.840000000001,2679839,1240430
CAI2A   ,1655712930,47.30108642578125,8.516738891601562,195.26182682869137,5128.26,5372.1,2681534,1239471
CAI2A   ,1655712940,47.29229736328125,8.538848876953125,198.26127141331563,5280.66,5532.12,2683220,1238517
CAI2A   ,1655712950,47.28337097167969,8.561302185058594,200.11276475983843,5425.4400000000005,5676.900000000001,2684932,1237549
CAI2A   ,1655712960,47.2738037109375,8.58526611328125,202.48518454044543,5570.22,5821.68,2686761,1236511
CAI2A   ,1655712970,47.264556884765625,8.607925415039062,204.24463436663888,5715.0,5974.08,2688490,1235509
CAI2A   ,1655712980,47.25503695213188,8.631239670973557,205.39140460174667,5875.02,6156.96,2690271,1234477
CAI2A   ,1655712990,47.245586847854874,8.654268704927883,206.09759258921423,6035.04,6324.6,2692030,1233453
CAI2A   ,1655713000,47.23594665527344,8.677688598632812,207.9505846179207,6172.200000000001,6469.380000000001,2693820,1232409
